constructorId,constructorRef,name,nationality,url,team_color
164,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing,#FF0000
167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
166,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing,#FF0000
168,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
169,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
171,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
172,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
173,lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
174,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#808080
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#808080
176,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
177,lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#808080
180,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
181,brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham,#808080
182,brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham,#808080
183,brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham,#808080
184,lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile),#808080
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile),#808080
186,cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
187,mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren,#808080
188,mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren,#808080
189,eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,#808080
190,eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,#808080
191,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham,#808080
192,cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
193,cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
194,mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing),#808080
195,cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#808080
196,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra,#808080
197,brm-ford,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM,#808080
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing),#808080
199,march-alfa_romeo,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering,#808080
200,march-ford,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering,#808080
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus,#808080
202,shadow-ford,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,#808080
203,shadow-matra,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,#808080
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham,#808080
205,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing,#FFB800
206,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1,#6E0000
207,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1,#005030
208,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1,#FFB800
209,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport,#6E0000
210,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team,#FFFFFF
211,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,#FF80C7
213,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,#2B4562
214,alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team,#0090FF
215,rb,RB F1 Team,Italian,http://en.wikipedia.org/wiki/RB_Formula_One_Team,#6692FF
